"Registered.Syrian.Refugees","date"
774581,"2013-03-01"
777592,"2013-03-03"
779499,"2013-03-04"
784099,"2013-03-05"
786404,"2013-03-06"
788417,"2013-03-07"
790820,"2013-03-08"
834567,"2013-03-09"
835430,"2013-03-10"
889019,"2013-03-11"
894289,"2013-03-12"
904409,"2013-03-13"
907425,"2013-03-14"
911784,"2013-03-15"
922718,"2013-03-17"
926725,"2013-03-18"
930264,"2013-03-19"
934280,"2013-03-20"
937253,"2013-03-21"
948780,"2013-03-22"
948725,"2013-03-23"
950757,"2013-03-24"
972439,"2013-03-25"
978982,"2013-03-26"
986639,"2013-03-27"
992167,"2013-03-28"
993743,"2013-03-29"
994246,"2013-03-31"
1014558,"2013-04-02"
1027123,"2013-04-04"
1063919,"2013-04-05"
1064495,"2013-04-06"
1071822,"2013-04-07"
1080456,"2013-04-08"
1087308,"2013-04-09"
1095022,"2013-04-10"
1102843,"2013-04-11"
1108364,"2013-04-12"
1108136,"2013-04-13"
1112599,"2013-04-14"
1124095,"2013-04-15"
1133087,"2013-04-16"
1139210,"2013-04-17"
1148491,"2013-04-18"
1157036,"2013-04-20"
1164512,"2013-04-21"
1196882,"2013-04-22"
1205757,"2013-04-23"
1213869,"2013-04-24"
1220847,"2013-04-25"
1224903,"2013-04-26"
1235225,"2013-04-29"
1245963,"2013-04-30"
1246504,"2013-05-01"
1257460,"2013-05-02"
1260228,"2013-05-03"
1260921,"2013-05-05"
1265066,"2013-05-06"
1274485,"2013-05-08"
1228257,"2013-05-09"
1232927,"2013-05-10"
1234689,"2013-05-12"
1275768,"2013-05-13"
1275693,"2013-05-14"
1313379,"2013-05-15"
1319620,"2013-05-16"
1323904,"2013-05-17"
1323866,"2013-05-18"
1324471,"2013-05-19"
1337317,"2013-05-20"
1351717,"2013-05-21"
1358806,"2013-05-22"
1370125,"2013-05-23"
1373882,"2013-05-24"
1374865,"2013-05-26"
1403494,"2013-05-27"
1410865,"2013-05-28"
1417527,"2013-05-29"
1423807,"2013-05-30"
1423036,"2013-05-31"
1409640,"2013-06-03"
1416104,"2013-06-04"
1437839,"2013-06-06"
1440662,"2013-06-07"
1442971,"2013-06-09"
1456463,"2013-06-10"
1456412,"2013-06-11"
1464755,"2013-06-12"
1470603,"2013-06-13"
1474184,"2013-06-14"
1476497,"2013-06-16"
1490186,"2013-06-17"
1495501,"2013-06-18"
1499819,"2013-06-19"
1510354,"2013-06-20"
1512160,"2013-06-21"
1516510,"2013-06-23"
1521582,"2013-06-24"
1528358,"2013-06-25"
1547643,"2013-06-26"
1552994,"2013-06-27"
1555426,"2013-06-28"
1558395,"2013-06-30"
1569179,"2013-07-02"
1574346,"2013-07-03"
1579339,"2013-07-04"
1582495,"2013-07-07"
1593920,"2013-07-08"
1597562,"2013-07-09"
1605576,"2013-07-10"
1594804,"2013-07-11"
1597452,"2013-07-12"
1598259,"2013-07-13"
1606134,"2013-07-14"
1613864,"2013-07-15"
1616693,"2013-07-16"
1635861,"2013-07-17"
1638915,"2013-07-18"
1641470,"2013-07-19"
1641860,"2013-07-21"
1661833,"2013-07-22"
1665743,"2013-07-23"
1671373,"2013-07-24"
1675695,"2013-07-25"
1677517,"2013-07-26"
1679974,"2013-07-28"
1683945,"2013-07-29"
1694277,"2013-07-30"
1701365,"2013-07-31"
1705820,"2013-08-01"
1708283,"2013-08-04"
1718857,"2013-08-05"
1714485,"2013-08-06"
1721209,"2013-08-07"
1723923,"2013-08-08"
1724584,"2013-08-09"
1726010,"2013-08-11"
1728870,"2013-08-12"
1733914,"2013-08-13"
1738985,"2013-08-14"
1741843,"2013-08-15"
1744155,"2013-08-16"
1741896,"2013-08-18"
1754278,"2013-08-19"
1763747,"2013-08-20"
1767135,"2013-08-21"
1775992,"2013-08-22"
1778420,"2013-08-23"
1778429,"2013-08-24"
1779634,"2013-08-25"
1787366,"2013-08-26"
1813578,"2013-08-27"
1820862,"2013-08-28"
1830557,"2013-08-29"
1834708,"2013-08-31"
1840028,"2013-09-01"
1866429,"2013-09-03"
1869063,"2013-09-04"
1872067,"2013-09-05"
1874246,"2013-09-06"
1877020,"2013-09-09"
1885818,"2013-09-12"
1889185,"2013-09-14"
1928940,"2013-09-16"
1932391,"2013-09-17"
1961539,"2013-09-18"
1962989,"2013-09-19"
1969213,"2013-09-21"
1981868,"2013-09-22"
1985111,"2013-09-23"
1993915,"2013-09-24"
1993882,"2013-09-25"
1994779,"2013-09-26"
2002456,"2013-09-27"
2002825,"2013-09-29"
2005752,"2013-09-30"
2030271,"2013-10-02"
2041175,"2013-10-03"
2043805,"2013-10-04"
2046232,"2013-10-06"
2053173,"2013-10-07"
2061018,"2013-10-08"
2065004,"2013-10-09"
2070846,"2013-10-10"
2070850,"2013-10-11"
2071459,"2013-10-13"
2077517,"2013-10-14"
2079904,"2013-10-16"
2083652,"2013-10-17"
2086233,"2013-10-19"
2086967,"2013-10-20"
2089473,"2013-10-21"
2095450,"2013-10-22"
2100034,"2013-10-23"
2103707,"2013-10-24"
2109426,"2013-10-25"
2109535,"2013-10-27"
2114725,"2013-10-28"
2117104,"2013-10-29"
2106920,"2013-10-30"
2112829,"2013-10-31"
2119120,"2013-11-02"
2121535,"2013-11-03"
2121572,"2013-11-04"
2159923,"2013-11-05"
2158212,"2013-11-06"
2153072,"2013-11-07"
2178259,"2013-11-08"
2179837,"2013-11-10"
2167774,"2013-11-11"
2173086,"2013-11-12"
2176160,"2013-11-13"
2179458,"2013-11-14"
2181948,"2013-11-15"
2188409,"2013-11-17"
2191223,"2013-11-18"
2196605,"2013-11-19"
2202071,"2013-11-20"
2205419,"2013-11-21"
2205562,"2013-11-24"
2208673,"2013-11-25"
2216699,"2013-11-26"
2229191,"2013-11-27"
2233205,"2013-11-28"
2246171,"2013-12-02"
2252398,"2013-12-03"
2261500,"2013-12-06"
2275733,"2013-12-11"
2279654,"2013-12-12"
2282276,"2013-12-14"
2309788,"2013-12-22"
2604403,"2014-04-07"
2611099,"2014-04-10"
2614079,"2014-04-12"
2647871,"2014-04-13"
2638509,"2014-04-16"
2643913,"2014-04-20"
2643822,"2014-04-21"
2645970,"2014-04-24"
2659538,"2014-04-26"
2689042,"2014-05-01"
2691072,"2014-05-02"
2690478,"2014-05-04"
2692700,"2014-05-05"
2702137,"2014-05-10"
2712114,"2014-05-12"
2714677,"2014-05-13"
2737514,"2014-05-20"
2768009,"2014-06-01"
NA,"2014-06-02"
NA,"2014-06-03"
2773436,"2014-06-08"
NA,"2014-06-10"
NA,"2014-06-11"
NA,"2014-06-17"
NA,"2014-06-21"
NA,"2014-06-24"
NA,"2014-06-28"
2846419,"2014-07-02"
2846821,"2014-07-03"
2863491,"2014-07-08"
NA,"2014-07-15"
NA,"2014-07-16"
NA,"2014-07-19"
NA,"2014-07-23"
NA,"2014-07-30"
NA,"2014-08-06"
NA,"2014-08-11"
NA,"2014-08-13"
NA,"2014-08-18"
NA,"2014-08-25"
NA,"2014-08-28"
NA,"2014-09-01"
NA,"2014-09-04"
NA,"2014-09-08"
NA,"2014-09-15"
NA,"2014-09-17"
NA,"2014-09-22"
NA,"2014-09-24"
NA,"2014-09-28"
NA,"2014-09-29"
NA,"2014-10-09"
NA,"2014-10-20"
NA,"2014-10-21"
NA,"2014-11-03"
NA,"2014-11-12"
NA,"2014-11-19"
NA,"2014-12-01"
NA,"2014-12-10"
NA,"2014-12-24"
3218302,"2014-12-28"
3220862,"2014-12-29"
3225248,"2015-01-05"
3224960,"2015-01-07"
3720191,"2015-01-21"
NA,"2015-02-10"
3744970,"2015-02-25"
NA,"2015-03-04"
NA,"2015-03-05"
NA,"2015-03-09"
3901050,"2015-03-11"
