name,module_name,module_type,value,updated_at
liberia,"Registered Refugee Population","Total Population & Demogrpahy",60752,2013-02-03
liberia,"Registered Refugee Population","Total Population & Demogrpahy",61153,2013-04-03
liberia,"Registered Refugee Population","Total Population & Demogrpahy",61171,2012-12-04
liberia,"Registered Refugee Population","Total Population & Demogrpahy",61587,2012-04-30
liberia,"Registered Refugee Population","Total Population & Demogrpahy",61703,2013-04-01
liberia,"Registered Refugee Population","Total Population & Demogrpahy",64620,2012-03-31
mali,"Internally displaced persons in Mali ","Total Population & Demogrpahy",86026,"2014-10-31 14:41:41"
mali,"Internally displaced persons in Nigeria","Total Population & Demogrpahy",1188018,"2015-03-06 10:21:36"
mali,"Internally displaced persons in Nigeria","Total Population & Demogrpahy",981416,"2015-01-15 10:47:33"
mali,"Malian refugees","Total Population & Demogrpahy",134689,"2015-02-28 14:26:31"
mali,"Malian refugees","Total Population & Demogrpahy",133285,"2015-02-28 14:26:31"
mali,"Malian refugees","Total Population & Demogrpahy",133107,"2015-02-15 16:05:49"
mali,"Malian refugees","Total Population & Demogrpahy",133313,"2015-01-31 12:24:26"
mali,"Malian refugees","Total Population & Demogrpahy",133016,"2015-01-20 16:25:53"
mali,"Nigerian refugees","Total Population & Demogrpahy",129702,"2015-03-01 10:58:59"
mali,"Nigerian refugees","Total Population & Demogrpahy",113825,"2015-03-01 10:58:59"
mali,"Nigerian refugees","Total Population & Demogrpahy",113808,"2015-02-22 14:11:45"
mali,"Nigerian refugees","Total Population & Demogrpahy",113540,"2015-02-15 16:22:37"
mali,"Nigerian refugees","Total Population & Demogrpahy",113525,"2015-02-11 20:04:27"
mali,"Nigerian refugees","Total Population & Demogrpahy",113510,"2015-02-11 20:04:27"
southsudan,"Population Planning figure","Total Population & Demogrpahy",821000,"2015-01-01 14:36:19"
southsudan,"Population Planning figure","Total Population & Demogrpahy",625000,"2015-01-01 09:01:29"
southsudan,"Population Planning figure","Total Population & Demogrpahy",580642,"2014-10-22 09:58:45"
southsudan,"Population Planning figure","Total Population & Demogrpahy",657346,"2015-02-19 15:40:43"
southsudan,"Population Planning figure","Total Population & Demogrpahy",657270,"2015-02-12 14:34:08"
southsudan,"Population Planning figure","Total Population & Demogrpahy",581969,"2015-01-15 12:37:09"
southsudan,"Population Planning figure","Total Population & Demogrpahy",581833,"2015-01-08 06:52:47"
southsudan,"Population Planning figure","Total Population & Demogrpahy",581625,"2014-12-18 10:54:29"
southsudan,"Population Planning figure","Total Population & Demogrpahy",581518,"2014-12-12 10:58:43"
