name,module_name,value,updated_at
syria,Registered Syrian Refugees,1257460,2009-05-01
syria,Registered Syrian Refugees,187956,2008-08-27
syria,Registered Syrian Refugees,1464755,2009-06-11
syria,Registered Syrian Refugees,2380063,2010-01-23
syria,Registered Syrian Refugees,2246131,2009-11-29
syria,Registered Syrian Refugees,3037116,2010-11-17
syria,Registered Syrian Refugees,2113414,2009-10-31
syria,Registered Syrian Refugees,524999,2009-01-07
syria,Registered Syrian Refugees,87269,2008-06-20
syria,Registered Syrian Refugees,3027174,2010-11-05
syria,Registered Syrian Refugees,1324471,2009-05-18
syria,Registered Syrian Refugees,2694465,2010-05-05
syria,Registered Syrian Refugees,290453,2008-10-20
syria,Registered Syrian Refugees,483915,2008-12-23
syria,Registered Syrian Refugees,1071822,2009-04-06
syria,Registered Syrian Refugees,779499,2009-03-03
syria,Registered Syrian Refugees,2646559,2010-04-21
syria,Registered Syrian Refugees,3225904,2011-01-11
syria,Registered Syrian Refugees,2725008,2010-05-16
syria,Registered Syrian Refugees,218087,2008-09-11
syria,Registered Syrian Refugees,2327737,2009-12-29
syria,Registered Syrian Refugees,2314211,2009-12-22
syria,Registered Syrian Refugees,3743943,2011-02-23
syria,Registered Syrian Refugees,784099,2009-03-04
syria,Registered Syrian Refugees,1409640,2009-06-02
syria,Registered Syrian Refugees,1555426,2009-06-27
syria,Registered Syrian Refugees,365585,2008-11-15
syria,Registered Syrian Refugees,2002456,2009-09-26
syria,Registered Syrian Refugees,1087308,2009-04-08
syria,Registered Syrian Refugees,126881,2008-07-28
syria,Registered Syrian Refugees,115014,2008-07-17
syria,Registered Syrian Refugees,115014,2008-07-18
syria,Registered Syrian Refugees,65445,2008-05-16
syria,Registered Syrian Refugees,2827058,2010-06-22
syria,Registered Syrian Refugees,3206525,2010-12-15
syria,Registered Syrian Refugees,2448919,2010-02-19
syria,Registered Syrian Refugees,111847,2008-07-15
syria,Registered Syrian Refugees,3743049,2011-02-22
syria,Registered Syrian Refugees,1579339,2009-07-03
syria,Registered Syrian Refugees,231575,2008-09-19
syria,Registered Syrian Refugees,2438687,2010-02-16
syria,Registered Syrian Refugees,269182,2008-10-07
syria,Registered Syrian Refugees,2354593,2010-01-18
syria,Registered Syrian Refugees,2905585,2010-08-03
syria,Registered Syrian Refugees,2964267,2010-08-27
syria,Registered Syrian Refugees,295606,2008-10-22
syria,Registered Syrian Refugees,25334,2008-03-21
syria,Registered Syrian Refugees,3742284,2011-02-21
syria,Registered Syrian Refugees,2863595,2010-07-08
syria,Registered Syrian Refugees,2196605,2009-11-18
syria,Registered Syrian Refugees,2522944,2010-03-14
syria,Registered Syrian Refugees,2965356,2010-08-31
syria,Registered Syrian Refugees,763533,2009-02-24
syria,Registered Syrian Refugees,411428,2008-12-02
syria,Registered Syrian Refugees,2461136,2010-02-22
syria,Registered Syrian Refugees,712132,2009-02-15
syria,Registered Syrian Refugees,2332688,2010-01-12
syria,Registered Syrian Refugees,625347,2009-01-29
syria,Registered Syrian Refugees,2443007,2010-02-17
syria,Registered Syrian Refugees,478399,2008-12-20
syria,Registered Syrian Refugees,251406,2008-09-29
syria,Registered Syrian Refugees,2708667,2010-05-10
syria,Registered Syrian Refugees,101912,2008-07-03
syria,Registered Syrian Refugees,2153072,2009-11-06
syria,Registered Syrian Refugees,2937016,2010-08-13
syria,Registered Syrian Refugees,2884130,2010-07-20
syria,Registered Syrian Refugees,2869814,2010-07-09
syria,Registered Syrian Refugees,550126,2009-01-15
syria,Registered Syrian Refugees,23317,2008-03-14
syria,Registered Syrian Refugees,3030451,2010-11-11
syria,Registered Syrian Refugees,1164512,2009-04-20
syria,Registered Syrian Refugees,618055,2009-01-28
syria,Registered Syrian Refugees,2825296,2010-06-21
syria,Registered Syrian Refugees,1157036,2009-04-19
syria,Registered Syrian Refugees,2944677,2010-08-20
syria,Registered Syrian Refugees,2256118,2009-12-03
syria,Registered Syrian Refugees,2643822,2010-04-20
syria,Registered Syrian Refugees,3205180,2010-12-09
syria,Registered Syrian Refugees,3025024,2010-11-02
syria,Registered Syrian Refugees,1495501,2009-06-17
syria,Registered Syrian Refugees,67539,2008-05-22
syria,Registered Syrian Refugees,3725572,2011-02-11
syria,Registered Syrian Refugees,3720191,2011-01-20
syria,Registered Syrian Refugees,3027229,2010-11-10
syria,Registered Syrian Refugees,2872299,2010-07-13
syria,Registered Syrian Refugees,2017839,2009-09-30
syria,Registered Syrian Refugees,2316667,2010-01-05
syria,Registered Syrian Refugees,3225258,2011-01-05
